method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
LSTM-Gaussian,0.9,both,DQ incremental,regime,t-1 (implementable),5.807705976715969,2.0,0.05481162413020209,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=21.451 (df 7, p=0.003157) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",0.32886974478121256,7,True
LSTM-Gaussian,0.9,both,DQ incremental,transition,t-1 (implementable),0.2856201144938382,1.0,0.5930410329357094,780,transition_exante(t-1),0.09999999999999998,"DQ_full=15.929 (df 6, p=0.01414) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,width,t-1 (implementable),0.4018960096047124,1.0,0.5261116995763844,780,log_interval_width,0.09999999999999998,"DQ_full=16.045 (df 6, p=0.01351) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.6889557353363756,,0.09122791302301589,784,,0.09999999999999998,PICP 0.8417 (n=379) vs 0.8840 (n=405); z_iid=1.723 p_iid=0.08497,0.45613956511507947,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.9989522237852364,,0.04561352340586851,784,,0.09999999999999998,PICP 0.8936 (n=329) vs 0.8418 (n=455); z_iid=-2.087 p_iid=0.03686,0.3192946638410796,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.46655494910198075,,0.6408183252730606,784,,0.09999999999999998,PICP 0.8421 (n=76) vs 0.8658 (n=708); z_iid=0.572 p_iid=0.5671,1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,-0.512689851561898,,0.6081682897391338,784,,0.09999999999999998,PICP 0.8846 (n=52) vs 0.8620 (n=732); z_iid=-0.459 p_iid=0.6465,1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,regime,t-1 (implementable),14.840597941161825,2.0,0.0005989700443205383,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=46.645 (df 7, p=6.545e-08) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.00359382026592323,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,transition,t-1 (implementable),0.07220070970246795,1.0,0.7881590915032121,780,transition_exante(t-1),0.04999999999999999,"DQ_full=31.877 (df 6, p=1.723e-05) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,width,t-1 (implementable),5.622469350815727,1.0,0.01773164878978451,780,log_interval_width,0.04999999999999999,"DQ_full=37.427 (df 6, p=1.453e-06) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.07092659515913805,7,True
